"ID WHO city","iso3","country","city","pm10","Year","type_of_stations","pm10_type","pm25","pm25_type","reference","latitude","longitude","population","wbinc16_text","region","date_compiled","population_source","tempcov_PM10","tempcov_PM25","latitude_pop","longitude_pop","Region","region_abbr","tempcov_PM10_grad","tempcov_PM25_grad","conc_pm25","color_pm25","conc_pm10","color_pm10"
3,"ALB","Albania","Tirana",31.61542142,2013,"1 station, traffic, urban","Measured",16.06236628,"Measured","European Environment Agency, Air quality e-reporting database",41.3302688598633,19.8217716217041,453509,"Upper middle income","Eur_LM",2016,NA,NA,NA,NA,NA,"Europe (LMIC)","Eur (LMIC)",NA,NA,"15-<25","orange","30-<50","darkred"
15,"AUS","Australia","Central Coast",12.8204622829167,2014,"-","Converted",5.5,"Measured","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",-33.2788887023926,151.432495117188,297713,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
18,"AUS","Australia","Devonport",14.9183561110304,2013,"-","Converted",6.4,"Measured","Environment Protection Authority",-41.1847991943359,146.345993041992,29050,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
19,"AUS","Australia","Geelong",17.5,2014,"1 station, Residential/Light Industry","Measured",7.50752959417486,"Converted","EPA Victoria, Environment Protection Authority Macleod",-38.1749992370605,144.369003295898,173450,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
22,"AUS","Australia","Hobart",14.2190581683258,2013,"-","Converted",6.1,"Measured","Environment Protection Authority",-42.8545989990234,147.315002441406,170977,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
23,"AUS","Australia","La Trobe Valley",19.95,2014,"2 stations, residential, rural","Measured",9.8,"Measured","http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf",-38.2210578918457,146.397537231445,72396,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
24,"AUS","Australia","Launceston",18.8810444530228,2013,"-","Converted",8.1,"Measured","Environment Protection Authority",-41.4174003601074,147.125,82222,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
25,"AUS","Australia","Lower Hunter",17.3270490247905,2014,"-","Converted",7.43333333333333,"Measured","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",-32.7983322143555,151.660003662109,620530,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
27,"AUS","Australia","Melbourne",18.75,2014,"10 stations, Residential/Light Industry","Measured",7.7,"Measured","http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf",-37.7810554504395,145.030700683594,4203416,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
38,"AUS","Australia","Upper Hunter",19.658042167139,2014,"-","Converted",8.43333333333333,"Measured","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",-32.4722213745117,151.091949462891,620530,"High income","Wpr_HI",2016,NA,NA,NA,NA,NA,"Western Pacific (HIC)","Wpr (HIC)",NA,NA,"<10","green","<20","green"
44,"AUT","Austria","Bad Ischl",15.8690373646019,2013,"-","Converted",11.63197956,"Measured","European Environment Agency, Air quality e-reporting database",47.9599990844727,16.2069511413574,13876,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"10-<15","yellow","<20","green"
51,"AUT","Austria","Ebenthal",20.39641161,2013,"1 station, background, rural","Measured",14.9505377984734,"Converted","European Environment Agency, Air quality e-reporting database",46.6083335876465,14.3986110687256,7698,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"10-<15","yellow","20-<30","yellow"
57,"AUT","Austria","Grossenzersdorf",23.9878225930124,2013,"-","Converted",17.58303643,"Measured","European Environment Agency, Air quality e-reporting database",48.2366676330566,16.6369476318359,9613,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"15-<25","orange","20-<30","yellow"
62,"AUT","Austria","Himberg",23.43267223,2013,"1 station, traffic, suburban","Measured",17.1761120824847,"Converted","European Environment Agency, Air quality e-reporting database",47.4588890075684,9.64028358459473,6671,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"15-<25","orange","20-<30","yellow"
64,"AUT","Austria","Imst",18.13013151,2013,"1 station, traffic, rural","Measured",13.289358030932,"Converted","European Environment Agency, Air quality e-reporting database",47.2169494628906,10.735577583313,9506,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"10-<15","yellow","<20","green"
68,"AUT","Austria","Kematen",20.31965684,2013,"1 station, traffic, urban","Measured",14.8942766721517,"Converted","European Environment Agency, Air quality e-reporting database",46.6199989318848,14.3169469833374,1345,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"10-<15","yellow","20-<30","yellow"
69,"AUT","Austria","Klagenfurt",23.02879097,2013,"2 stations, traffic, urban","Measured",13.783685825,"Measured","European Environment Agency, Air quality e-reporting database",48.306941986084,16.3263988494873,93236,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"10-<15","yellow","20-<30","yellow"
72,"AUT","Austria","Krems",23.64537015,2013,"1 station, background, urban","Measured",17.3320193250635,"Converted","European Environment Agency, Air quality e-reporting database",48.4094467163086,15.6202802658081,24032,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"15-<25","orange","20-<30","yellow"
82,"AUT","Austria","Sankt Andra Im Lavanttal",24.00713827,2013,"1 station, industrial, urban","Measured",17.5971947910111,"Converted","European Environment Agency, Air quality e-reporting database",46.7638893127441,14.822226524353,10252,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"15-<25","orange","20-<30","yellow"
83,"AUT","Austria","Sankt Poelten",24.27761938,2013,"1 station, background, suburban","Measured",17.61350394,"Measured","European Environment Agency, Air quality e-reporting database",48.2113914489746,15.6316795349121,51955,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"15-<25","orange","20-<30","yellow"
85,"AUT","Austria","Schwaz",20.33323287,2013,"1 station, traffic, suburban","Measured",14.904227880901,"Converted","European Environment Agency, Air quality e-reporting database",47.3491668701172,11.6930637359619,13023,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"10-<15","yellow","20-<30","yellow"
91,"AUT","Austria","Traismaier",21.62120208,2013,"1 station, background, rural-regional","Measured",15.8483072967103,"Converted","European Environment Agency, Air quality e-reporting database",48.3533325195312,15.746955871582,5919,"High income","Eur_HI",2016,NA,NA,NA,NA,NA,"Europe (HIC)","Eur (HIC)",NA,NA,"15-<25","orange","20-<30","yellow"
