,S.No,state,Month,Current AQI value
0,1,AP,January,157
1,2,AP,February,107
2,3,AP,March,84
3,4,AP,April,69
4,5,AP,May,86
5,6,assam,January,265
6,7,assam,Febraury,368
7,8,assam,March,162
8,9,assam,April,212
9,10,assam,May,24
10,11,bihar,January,393
11,12,bihar,February,271
12,13,bihar,March,231
13,14,bihar,April,140
14,15,bihar,May,129
15,16,chandigarh,January,89
16,17,chandigarh,February,84
17,18,chandigarh,March,79
18,19,chandigarh,April,45
19,20,chandigarh,May,135
20,21,Delhi,January,366
21,22,Delhi,February,361
22,23,Delhi,March,227
23,24,Delhi,April,202
24,25,Delhi,May,264
25,26,Gujarat,January,119
26,27,Gujarat,February,299
27,28,Gujarat,March,200
28,29,Gujarat,April,200
29,30,Gujarat,May,177
30,31,Haryana,January,333
31,32,Haryana,February,282
32,33,Haryana,March,231
33,34,Haryana,April,166
34,35,Haryana,May,278
35,36,Jharkhand,January,178
36,37,Jharkhand,February,143
37,38,Jharkhand,March,129
38,39,Jharkhand,April,116
39,40,Jharkhand,May,140
40,41,Karnataka,January,139
41,42,Karnataka,February,141
42,43,Karnataka,March,151
43,44,Karnataka,April,70
44,45,Karnataka,May,78
45,46,Kerala,January,142
46,47,Kerala,February,137
47,48,Kerala,March,137
48,49,Kerala,April,75
49,50,Kerala,May,97
50,51,MP,January,239
51,52,MP,February,181
52,53,MP,March,145
53,54,MP,April,261
54,55,MP,May,267
55,56,Maharastra,January,143
56,57,Maharastra,February,291
57,58,Maharastra,March,273
58,59,Maharastra,April,92
59,60,Maharastra,May,132
60,61,Meghalaya,January,47
61,62,Meghalaya,February,144
62,63,Meghalaya,March,48
63,64,Meghalaya,April,39
64,65,Meghalaya,May,31
65,66,Odisha,January,326
66,67,Odisha,February,283
67,68,Odisha,March,226
68,69,Odisha,April,170
69,70,Odisha,May,78
70,71,Punjab,January,172
71,72,Punjab,February,159
72,73,Punjab,March,134
73,74,Punjab,April,59
74,75,Punjab,May,172
75,76,Rajasthan,January,242
76,77,Rajasthan,February,238
77,78,Rajasthan,March,269
78,79,Rajasthan,April,129
79,80,Rajasthan,May,217
80,81,TN,January,232
81,82,TN,February,73
82,83,TN,March,123
83,84,TN,April,142
84,85,TN,May,91
85,86,TS,January,147
86,87,TS,February,142
87,88,TS,March,90
88,89,TS,April,78
89,90,TS,May,136
90,91,UP,January,442
91,92,UP,February,347
92,93,UP,March,189
93,94,UP,April,217
94,95,UP,May,344
95,96,WB,January,389
96,97,WB,February,348
97,98,WB,March,162
98,99,WB,April,104
99,100,WB,May,76
